run_id,label,best_threshold,best_f1_on_val
run_01_lr1.50e-05_wd0.010_warm0.06,toxic,0.53,0.8395061728395061
run_01_lr1.50e-05_wd0.010_warm0.06,severe_toxic,0.3,0.5548780487804879
run_01_lr1.50e-05_wd0.010_warm0.06,obscene,0.54,0.8416666666666667
run_01_lr1.50e-05_wd0.010_warm0.06,threat,0.13,0.603448275862069
run_01_lr1.50e-05_wd0.010_warm0.06,insult,0.34,0.7882005899705015
run_01_lr1.50e-05_wd0.010_warm0.06,identity_hate,0.12,0.6235294117647059
run_02_lr1.50e-05_wd0.010_warm0.10,toxic,0.45,0.8389463154384795
run_02_lr1.50e-05_wd0.010_warm0.10,severe_toxic,0.29,0.5443425076452599
run_02_lr1.50e-05_wd0.010_warm0.10,obscene,0.48,0.8458823529411764
run_02_lr1.50e-05_wd0.010_warm0.10,threat,0.08,0.5901639344262295
run_02_lr1.50e-05_wd0.010_warm0.10,insult,0.27,0.7828571428571428
run_02_lr1.50e-05_wd0.010_warm0.10,identity_hate,0.13,0.6139817629179332
run_03_lr1.50e-05_wd0.015_warm0.06,toxic,0.48,0.8404433993953645
run_03_lr1.50e-05_wd0.015_warm0.06,severe_toxic,0.29,0.5427728613569321
run_03_lr1.50e-05_wd0.015_warm0.06,obscene,0.62,0.8431372549019608
run_03_lr1.50e-05_wd0.015_warm0.06,threat,0.13,0.6194690265486725
run_03_lr1.50e-05_wd0.015_warm0.06,insult,0.33,0.7908073070123748
run_03_lr1.50e-05_wd0.015_warm0.06,identity_hate,0.17,0.6179401993355482
run_04_lr1.50e-05_wd0.015_warm0.10,toxic,0.49,0.8417508417508418
run_04_lr1.50e-05_wd0.015_warm0.10,severe_toxic,0.29,0.5571847507331378
run_04_lr1.50e-05_wd0.015_warm0.10,obscene,0.46,0.8461538461538461
run_04_lr1.50e-05_wd0.015_warm0.10,threat,0.14,0.6071428571428571
run_04_lr1.50e-05_wd0.015_warm0.10,insult,0.35,0.7864768683274022
run_04_lr1.50e-05_wd0.015_warm0.10,identity_hate,0.2,0.6062717770034843
run_05_lr1.75e-05_wd0.010_warm0.06,toxic,0.47,0.8399056285810583
run_05_lr1.75e-05_wd0.010_warm0.06,severe_toxic,0.18,0.5454545454545454
run_05_lr1.75e-05_wd0.010_warm0.06,obscene,0.53,0.8417910447761194
run_05_lr1.75e-05_wd0.010_warm0.06,threat,0.3,0.5934065934065934
run_05_lr1.75e-05_wd0.010_warm0.06,insult,0.33,0.7875220718069452
run_05_lr1.75e-05_wd0.010_warm0.06,identity_hate,0.16,0.6153846153846154
run_06_lr1.75e-05_wd0.010_warm0.10,toxic,0.45,0.8404255319148937
run_06_lr1.75e-05_wd0.010_warm0.10,severe_toxic,0.29,0.5460122699386503
run_06_lr1.75e-05_wd0.010_warm0.10,obscene,0.48,0.845020624631703
run_06_lr1.75e-05_wd0.010_warm0.10,threat,0.17,0.591304347826087
run_06_lr1.75e-05_wd0.010_warm0.10,insult,0.36,0.7907801418439716
run_06_lr1.75e-05_wd0.010_warm0.10,identity_hate,0.1,0.6101694915254238
run_07_lr1.75e-05_wd0.015_warm0.06,toxic,0.47,0.8402848423194303
run_07_lr1.75e-05_wd0.015_warm0.06,severe_toxic,0.29,0.5565749235474006
run_07_lr1.75e-05_wd0.015_warm0.06,obscene,0.51,0.8429850746268657
run_07_lr1.75e-05_wd0.015_warm0.06,threat,0.26,0.6041666666666666
run_07_lr1.75e-05_wd0.015_warm0.06,insult,0.32,0.7863046044864227
run_07_lr1.75e-05_wd0.015_warm0.06,identity_hate,0.1,0.6149253731343284
run_08_lr1.75e-05_wd0.015_warm0.10,toxic,0.42,0.8389239455330455
run_08_lr1.75e-05_wd0.015_warm0.10,severe_toxic,0.28,0.5481049562682215
run_08_lr1.75e-05_wd0.015_warm0.10,obscene,0.41,0.8444187391555813
run_08_lr1.75e-05_wd0.015_warm0.10,threat,0.22,0.6078431372549019
run_08_lr1.75e-05_wd0.015_warm0.10,insult,0.36,0.7890017931858936
run_08_lr1.75e-05_wd0.015_warm0.10,identity_hate,0.14,0.6178343949044586
run_09_lr2.00e-05_wd0.010_warm0.06,toxic,0.38,0.8418300653594771
run_09_lr2.00e-05_wd0.010_warm0.06,severe_toxic,0.27,0.5470588235294118
run_09_lr2.00e-05_wd0.010_warm0.06,obscene,0.39,0.8444187391555813
run_09_lr2.00e-05_wd0.010_warm0.06,threat,0.19,0.5904761904761905
run_09_lr2.00e-05_wd0.010_warm0.06,insult,0.37,0.7862318840579711
run_09_lr2.00e-05_wd0.010_warm0.06,identity_hate,0.13,0.6158730158730159
run_10_lr2.00e-05_wd0.010_warm0.10,toxic,0.47,0.8389261744966443
run_10_lr2.00e-05_wd0.010_warm0.10,severe_toxic,0.26,0.5539358600583091
run_10_lr2.00e-05_wd0.010_warm0.10,obscene,0.48,0.8459715639810427
run_10_lr2.00e-05_wd0.010_warm0.10,threat,0.18,0.584070796460177
run_10_lr2.00e-05_wd0.010_warm0.10,insult,0.42,0.7861482381530984
run_10_lr2.00e-05_wd0.010_warm0.10,identity_hate,0.14,0.6114649681528662
run_11_lr2.00e-05_wd0.015_warm0.06,toxic,0.39,0.8401826484018264
run_11_lr2.00e-05_wd0.015_warm0.06,severe_toxic,0.29,0.5525525525525525
run_11_lr2.00e-05_wd0.015_warm0.06,obscene,0.49,0.8429164196799052
run_11_lr2.00e-05_wd0.015_warm0.06,threat,0.2,0.5882352941176471
run_11_lr2.00e-05_wd0.015_warm0.06,insult,0.3,0.7873831775700935
run_11_lr2.00e-05_wd0.015_warm0.06,identity_hate,0.1,0.6202898550724638
run_12_lr2.00e-05_wd0.015_warm0.10,toxic,0.43,0.8377659574468085
run_12_lr2.00e-05_wd0.015_warm0.10,severe_toxic,0.28,0.5386996904024768
run_12_lr2.00e-05_wd0.015_warm0.10,obscene,0.47,0.8456534594914252
run_12_lr2.00e-05_wd0.015_warm0.10,threat,0.16,0.5945945945945946
run_12_lr2.00e-05_wd0.015_warm0.10,insult,0.4,0.7888349514563107
run_12_lr2.00e-05_wd0.015_warm0.10,identity_hate,0.15,0.6148867313915858
run_13_lr2.50e-05_wd0.010_warm0.06,toxic,0.37,0.8404567699836868
run_13_lr2.50e-05_wd0.010_warm0.06,severe_toxic,0.32,0.54375
run_13_lr2.50e-05_wd0.010_warm0.06,obscene,0.46,0.8444180522565321
run_13_lr2.50e-05_wd0.010_warm0.06,threat,0.23,0.6060606060606061
run_13_lr2.50e-05_wd0.010_warm0.06,insult,0.31,0.7895348837209303
run_13_lr2.50e-05_wd0.010_warm0.06,identity_hate,0.09,0.6145552560646901
run_14_lr2.50e-05_wd0.010_warm0.10,toxic,0.38,0.8381389252948886
run_14_lr2.50e-05_wd0.010_warm0.10,severe_toxic,0.24,0.5494505494505495
run_14_lr2.50e-05_wd0.010_warm0.10,obscene,0.46,0.8467501490757304
run_14_lr2.50e-05_wd0.010_warm0.10,threat,0.16,0.5945945945945946
run_14_lr2.50e-05_wd0.010_warm0.10,insult,0.39,0.7867469879518072
run_14_lr2.50e-05_wd0.010_warm0.10,identity_hate,0.14,0.6129032258064516
run_15_lr2.50e-05_wd0.015_warm0.06,toxic,0.37,0.8461034708578913
run_15_lr2.50e-05_wd0.015_warm0.06,severe_toxic,0.3,0.547112462006079
run_15_lr2.50e-05_wd0.015_warm0.06,obscene,0.44,0.8454706927175843
run_15_lr2.50e-05_wd0.015_warm0.06,threat,0.21,0.5663716814159292
run_15_lr2.50e-05_wd0.015_warm0.06,insult,0.31,0.783768115942029
run_15_lr2.50e-05_wd0.015_warm0.06,identity_hate,0.11,0.6194690265486725
run_16_lr2.50e-05_wd0.015_warm0.10,toxic,0.36,0.8367477592829705
run_16_lr2.50e-05_wd0.015_warm0.10,severe_toxic,0.28,0.5501618122977346
run_16_lr2.50e-05_wd0.015_warm0.10,obscene,0.38,0.8440046565774156
run_16_lr2.50e-05_wd0.015_warm0.10,threat,0.19,0.5740740740740741
run_16_lr2.50e-05_wd0.015_warm0.10,insult,0.42,0.7852307692307692
run_16_lr2.50e-05_wd0.015_warm0.10,identity_hate,0.15,0.6012658227848101
